subject_id,photo_id,image_path,ankle,arm-length,bicep,calf,chest,forearm,height,hip,leg-length,shoulder-breadth,shoulder-to-crotch,thigh,waist,wrist
-494U-YoXOD8e8gkCuyaRLn4MLo5P8Dm2B1s59WBGdg,e6f404ebda41ebe93573d3e219c88297,train/mask/e6f404ebda41ebe93573d3e219c88297.png,24.34,52.9,33.29,38.71,102.53,27.6,177.61,108.05,81.74,35.92,67.89,57.87,92.29,16.71
-494U-YoXOD8e8gkCuyaRLn4MLo5P8Dm2B1s59WBGdg,39a4241cb892618a694747e224d57b9e,train/mask/39a4241cb892618a694747e224d57b9e.png,24.34,52.9,33.29,38.71,102.53,27.6,177.61,108.05,81.74,35.92,67.89,57.87,92.29,16.71
-494U-YoXOD8e8gkCuyaRLn4MLo5P8Dm2B1s59WBGdg,a00a6c0c074efbd92c894cbc77023939,train/mask/a00a6c0c074efbd92c894cbc77023939.png,24.34,52.9,33.29,38.71,102.53,27.6,177.61,108.05,81.74,35.92,67.89,57.87,92.29,16.71
-494U-YoXOD8e8gkCuyaRLn4MLo5P8Dm2B1s59WBGdg,7c99b3017f21f9797851e70de084bfcb,train/mask/7c99b3017f21f9797851e70de084bfcb.png,24.34,52.9,33.29,38.71,102.53,27.6,177.61,108.05,81.74,35.92,67.89,57.87,92.29,16.71
-494U-YoXOD8e8gkCuyaRLn4MLo5P8Dm2B1s59WBGdg,3000cb26b2090db5a7d82926af8c6a83,train/mask/3000cb26b2090db5a7d82926af8c6a83.png,24.34,52.9,33.29,38.71,102.53,27.6,177.61,108.05,81.74,35.92,67.89,57.87,92.29,16.71
-494U-YoXOD8e8gkCuyaRLn4MLo5P8Dm2B1s59WBGdg,e62a945f9950f739ea73b90438a9e9cc,train/mask/e62a945f9950f739ea73b90438a9e9cc.png,24.34,52.9,33.29,38.71,102.53,27.6,177.61,108.05,81.74,35.92,67.89,57.87,92.29,16.71
-5OHO2b5mRDY1rvAf07sYYtekEEX7ViEGmvRr7l4tfc,69748a13010a169df0f7cb986ac1129e,train/mask/69748a13010a169df0f7cb986ac1129e.png,22.0,46.76,28.29,35.65,99.25,24.81,164.38,92.13,75.13,33.85,60.54,52.42,87.31,15.19
-5iHTazqnmWBsnUY6ymoCw1kORMymRDaUla1eNOjgvI,0d4a9cce6294a2bdc6dae93d0d9c42a8,train/mask/0d4a9cce6294a2bdc6dae93d0d9c42a8.png,26.57,53.29,30.8,39.85,102.39,27.72,183.72,106.04,84.06,37.86,72.0,52.93,96.6,17.94
-5iHTazqnmWBsnUY6ymoCw1kORMymRDaUla1eNOjgvI,cb5e3a2ce44d28764b2b453b0950e980,train/mask/cb5e3a2ce44d28764b2b453b0950e980.png,26.57,53.29,30.8,39.85,102.39,27.72,183.72,106.04,84.06,37.86,72.0,52.93,96.6,17.94
-60o95b9oEE83BDV3GpsAVPA4TFvxuPPqtXEY5PApy8,ecff10b191d87ec602eb58621d5a8e23,train/mask/ecff10b191d87ec602eb58621d5a8e23.png,24.78,49.08,34.61,38.1,111.16,28.55,169.06,109.53,74.31,38.2,68.54,58.66,103.4,17.03
-60o95b9oEE83BDV3GpsAVPA4TFvxuPPqtXEY5PApy8,d9adfcab9e56b15a41704ae9e823ab06,train/mask/d9adfcab9e56b15a41704ae9e823ab06.png,24.78,49.08,34.61,38.1,111.16,28.55,169.06,109.53,74.31,38.2,68.54,58.66,103.4,17.03
-67TrwlJ3GSsqPeHaa2Nb0iQ-BKZfIx4ERysQPZ0-SY,ecb8c4b1031624047de1493c7e8b3905,train/mask/ecb8c4b1031624047de1493c7e8b3905.png,20.79,42.23,24.53,29.18,93.63,21.98,146.52,87.13,67.27,31.66,52.7,41.84,74.4,15.12
-9Xvu9djN0oqidP9sUUQ-DZ6A0_upIBwARnNv7KTH3o,427dc3d3705c17c529a142290969a496,train/mask/427dc3d3705c17c529a142290969a496.png,24.67,46.95,29.94,36.82,100.15,26.14,176.66,99.82,73.94,35.74,70.81,51.82,83.87,16.37
-9Xvu9djN0oqidP9sUUQ-DZ6A0_upIBwARnNv7KTH3o,b86b7ee5c75198c7181cd4412cc76cfe,train/mask/b86b7ee5c75198c7181cd4412cc76cfe.png,24.67,46.95,29.94,36.82,100.15,26.14,176.66,99.82,73.94,35.74,70.81,51.82,83.87,16.37
-9Xvu9djN0oqidP9sUUQ-DZ6A0_upIBwARnNv7KTH3o,21a247dee01735e54febbea857b5d638,train/mask/21a247dee01735e54febbea857b5d638.png,24.67,46.95,29.94,36.82,100.15,26.14,176.66,99.82,73.94,35.74,70.81,51.82,83.87,16.37
-9Xvu9djN0oqidP9sUUQ-DZ6A0_upIBwARnNv7KTH3o,3d15cba23e9c6fe9bfd509a4934f511a,train/mask/3d15cba23e9c6fe9bfd509a4934f511a.png,24.67,46.95,29.94,36.82,100.15,26.14,176.66,99.82,73.94,35.74,70.81,51.82,83.87,16.37
-9Xvu9djN0oqidP9sUUQ-DZ6A0_upIBwARnNv7KTH3o,70b35a7aee34e1e817007a6f63b2af8e,train/mask/70b35a7aee34e1e817007a6f63b2af8e.png,24.67,46.95,29.94,36.82,100.15,26.14,176.66,99.82,73.94,35.74,70.81,51.82,83.87,16.37
-9Xvu9djN0oqidP9sUUQ-DZ6A0_upIBwARnNv7KTH3o,2bb9b09ef0a4ac0ea473a8047076d395,train/mask/2bb9b09ef0a4ac0ea473a8047076d395.png,24.67,46.95,29.94,36.82,100.15,26.14,176.66,99.82,73.94,35.74,70.81,51.82,83.87,16.37
-9Xvu9djN0oqidP9sUUQ-DZ6A0_upIBwARnNv7KTH3o,b8ad9ea99fb7c76617a3922a38348090,train/mask/b8ad9ea99fb7c76617a3922a38348090.png,24.67,46.95,29.94,36.82,100.15,26.14,176.66,99.82,73.94,35.74,70.81,51.82,83.87,16.37
-9Xvu9djN0oqidP9sUUQ-DZ6A0_upIBwARnNv7KTH3o,dd4671d13fbb81bc8b4a6765d9cc9ad1,train/mask/dd4671d13fbb81bc8b4a6765d9cc9ad1.png,24.67,46.95,29.94,36.82,100.15,26.14,176.66,99.82,73.94,35.74,70.81,51.82,83.87,16.37
-9Xvu9djN0oqidP9sUUQ-DZ6A0_upIBwARnNv7KTH3o,dab903d03ca65b3d2a0629d919a09dc2,train/mask/dab903d03ca65b3d2a0629d919a09dc2.png,24.67,46.95,29.94,36.82,100.15,26.14,176.66,99.82,73.94,35.74,70.81,51.82,83.87,16.37
-9Xvu9djN0oqidP9sUUQ-DZ6A0_upIBwARnNv7KTH3o,3ef19d383e16ff7c498d1f9650b8bd8b,train/mask/3ef19d383e16ff7c498d1f9650b8bd8b.png,24.67,46.95,29.94,36.82,100.15,26.14,176.66,99.82,73.94,35.74,70.81,51.82,83.87,16.37
-BdVKIwm3OGEfAEB56ar_HJqpYwmLXwhKKlyF0Gi4iU,f4c776abab7952840a393ac995fded6e,train/mask/f4c776abab7952840a393ac995fded6e.png,25.47,51.16,29.1,37.16,92.72,27.16,178.98,97.87,82.3,37.24,66.82,49.04,78.92,17.4
