Measurement,MAE,RMSE,R2,Mean Error,Mean Absolute Error
waist,8.457429932378977,9.025080412366496,-4.184817135768959,8.457429932378977,8.457429932378977
height,7.200631117418061,8.273444589661873,0.3939701149256596,4.503825267537434,7.200631117418061
leg-length,5.660893857238091,5.808420902100054,0.25619021930381314,2.21740058696746,5.660893857238091
chest,5.219675036013564,5.907962116933633,0.09153025403331949,4.768680955333798,5.219675036013564
hip,3.7489536867050846,4.368970960263793,-1.735611288261317,3.7489536867050846,3.7489536867050846
shoulder-to-crotch,3.7305369504413917,4.20724793219438,-1.6790002829529413,3.671557645585794,3.7305369504413917
arm-length,3.627136701864411,3.977776855531797,0.2498147274096203,1.6704921764817797,3.627136701864411
shoulder-breadth,2.537506585784187,2.981637497800629,-2.144213273486458,2.513885766183763,2.537506585784187
calf,1.9842752432081425,2.2892782944705496,-1.1203069580558207,1.3238122361319369,1.9842752432081425
bicep,1.9064110139654198,2.138295286595795,0.2831603669911228,0.8402798251662595,1.9064110139654198
forearm,1.3349840063828773,1.5545870860590643,0.16814956128103098,0.906783095078952,1.3349840063828773
ankle,1.3055708622009043,1.5727913507170685,-0.24473443327261757,1.3055708622009043,1.3055708622009043
thigh,1.302443322917388,1.7965286807312888,-0.3648101206112835,0.157862858732922,1.302443322917388
wrist,0.6518635761260996,0.6819601443931359,-0.20380123468622702,0.2512691100529281,0.6518635761260996
