subject_id,photo_id,image_path,body_width_px,body_height_px,silhouette_area_px,width_height_ratio,area_height_ratio,shoulder_width_px,chest_width_px,waist_width_px,hip_width_px,thigh_width_px,shoulder_body_ratio,chest_body_ratio,waist_body_ratio,hip_body_ratio,ankle,arm-length,bicep,calf,chest,forearm,height,hip,leg-length,shoulder-breadth,shoulder-to-crotch,thigh,waist,wrist
-494U-YoXOD8e8gkCuyaRLn4MLo5P8Dm2B1s59WBGdg,e6f404ebda41ebe93573d3e219c88297,train/mask/e6f404ebda41ebe93573d3e219c88297.png,473,893,139665,0.5296752519596865,156.39977603583426,237,343,461,473,192,0.5010570824524313,0.7251585623678647,0.9746300211416492,1.0,24.34395408630371,52.90237808227539,33.294395446777344,38.709510803222656,102.5260238647461,27.59909439086914,177.61099243164062,108.04713439941406,81.73643493652344,35.91569137573242,67.89127349853516,57.87279510498047,92.28617095947266,16.709131240844727
-494U-YoXOD8e8gkCuyaRLn4MLo5P8Dm2B1s59WBGdg,39a4241cb892618a694747e224d57b9e,train/mask/39a4241cb892618a694747e224d57b9e.png,448,838,125040,0.5346062052505967,149.21241050119332,226,327,438,448,182,0.5044642857142857,0.7299107142857143,0.9776785714285714,1.0,24.34395408630371,52.90237808227539,33.294395446777344,38.709510803222656,102.5260238647461,27.59909439086914,177.61099243164062,108.04713439941406,81.73643493652344,35.91569137573242,67.89127349853516,57.87279510498047,92.28617095947266,16.709131240844727
-494U-YoXOD8e8gkCuyaRLn4MLo5P8Dm2B1s59WBGdg,a00a6c0c074efbd92c894cbc77023939,train/mask/a00a6c0c074efbd92c894cbc77023939.png,545,855,127206,0.6374269005847953,148.77894736842106,231,376,545,545,211,0.4238532110091743,0.689908256880734,1.0,1.0,24.34395408630371,52.90237808227539,33.294395446777344,38.709510803222656,102.5260238647461,27.59909439086914,177.61099243164062,108.04713439941406,81.73643493652344,35.91569137573242,67.89127349853516,57.87279510498047,92.28617095947266,16.709131240844727
-494U-YoXOD8e8gkCuyaRLn4MLo5P8Dm2B1s59WBGdg,7c99b3017f21f9797851e70de084bfcb,train/mask/7c99b3017f21f9797851e70de084bfcb.png,538,835,120736,0.644311377245509,144.5940119760479,229,378,538,187,206,0.4256505576208178,0.7026022304832714,1.0,0.3475836431226766,24.34395408630371,52.90237808227539,33.294395446777344,38.709510803222656,102.5260238647461,27.59909439086914,177.61099243164062,108.04713439941406,81.73643493652344,35.91569137573242,67.89127349853516,57.87279510498047,92.28617095947266,16.709131240844727
-494U-YoXOD8e8gkCuyaRLn4MLo5P8Dm2B1s59WBGdg,3000cb26b2090db5a7d82926af8c6a83,train/mask/3000cb26b2090db5a7d82926af8c6a83.png,500,825,120632,0.6060606060606061,146.22060606060606,230,360,494,500,202,0.46,0.72,0.988,1.0,24.34395408630371,52.90237808227539,33.294395446777344,38.709510803222656,102.5260238647461,27.59909439086914,177.61099243164062,108.04713439941406,81.73643493652344,35.91569137573242,67.89127349853516,57.87279510498047,92.28617095947266,16.709131240844727
-494U-YoXOD8e8gkCuyaRLn4MLo5P8Dm2B1s59WBGdg,e62a945f9950f739ea73b90438a9e9cc,train/mask/e62a945f9950f739ea73b90438a9e9cc.png,513,865,130731,0.5930635838150289,151.13410404624278,234,365,507,513,210,0.4561403508771929,0.7115009746588694,0.9883040935672516,1.0,24.34395408630371,52.90237808227539,33.294395446777344,38.709510803222656,102.5260238647461,27.59909439086914,177.61099243164062,108.04713439941406,81.73643493652344,35.91569137573242,67.89127349853516,57.87279510498047,92.28617095947266,16.709131240844727
-5OHO2b5mRDY1rvAf07sYYtekEEX7ViEGmvRr7l4tfc,69748a13010a169df0f7cb986ac1129e,train/mask/69748a13010a169df0f7cb986ac1129e.png,549,839,125977,0.6543504171632897,150.15137067938022,260,437,549,543,184,0.4735883424408014,0.7959927140255009,1.0,0.989071038251366,22.00178337097168,46.76323318481445,28.288970947265625,35.64996337890625,99.2533950805664,24.81337547302246,164.37962341308594,92.1286849975586,75.12725830078125,33.848777770996094,60.541385650634766,52.41831970214844,87.30789947509766,15.19203758239746
-5iHTazqnmWBsnUY6ymoCw1kORMymRDaUla1eNOjgvI,0d4a9cce6294a2bdc6dae93d0d9c42a8,train/mask/0d4a9cce6294a2bdc6dae93d0d9c42a8.png,510,813,114017,0.6273062730627307,140.24231242312422,257,424,510,166,180,0.503921568627451,0.8313725490196079,1.0,0.3254901960784314,26.56500625610352,53.2885971069336,30.80095863342285,39.85494995117188,102.39127349853516,27.71979522705078,183.7188415527344,106.04412078857422,84.05552673339844,37.8564567565918,72.00437927246094,52.93408584594727,96.5964126586914,17.93659782409668
-5iHTazqnmWBsnUY6ymoCw1kORMymRDaUla1eNOjgvI,cb5e3a2ce44d28764b2b453b0950e980,train/mask/cb5e3a2ce44d28764b2b453b0950e980.png,489,815,113202,0.6,138.89815950920246,239,396,489,165,177,0.4887525562372188,0.8098159509202454,1.0,0.3374233128834356,26.56500625610352,53.2885971069336,30.80095863342285,39.85494995117188,102.39127349853516,27.71979522705078,183.7188415527344,106.04412078857422,84.05552673339844,37.8564567565918,72.00437927246094,52.93408584594727,96.5964126586914,17.93659782409668
-60o95b9oEE83BDV3GpsAVPA4TFvxuPPqtXEY5PApy8,ecff10b191d87ec602eb58621d5a8e23,train/mask/ecff10b191d87ec602eb58621d5a8e23.png,486,815,136028,0.596319018404908,166.90552147239265,268,393,485,486,216,0.551440329218107,0.808641975308642,0.9979423868312756,1.0,24.779565811157227,49.07775115966797,34.61311340332031,38.10426712036133,111.16407012939452,28.5504093170166,169.05911254882812,109.52946472167967,74.31023406982422,38.19779968261719,68.53671264648438,58.65667343139648,103.3951187133789,17.02985954284668
